date,model,drift_strength,mean_psi,max_psi,roc_auc,f1,balanced_accuracy,log_loss,brier_score,robustness_score
2026-08-20,hist_gradient_boosting,0.321227,0.111579,0.557229,0.992261,0.959641,0.929688,0.165989,0.040577,0.966676
2026-08-20,logistic_regression,0.321227,0.111579,0.557229,0.996787,0.976959,0.964077,0.071812,0.020589,0.982559
2026-08-20,random_forest,0.321227,0.111579,0.557229,0.991530,0.958904,0.935967,0.135041,0.038730,0.967604
2026-08-21,hist_gradient_boosting,0.361079,0.132370,0.707592,0.994597,0.972727,0.953125,0.113593,0.031669,0.977115
2026-08-21,logistic_regression,0.361079,0.132370,0.707592,0.997518,0.986047,0.979702,0.067331,0.017621,0.988999
2026-08-21,random_forest,0.361079,0.132370,0.707592,0.991238,0.948837,0.929761,0.136134,0.038733,0.963225
2026-08-22,hist_gradient_boosting,0.428905,0.118018,0.380528,0.984521,0.963964,0.937500,0.210320,0.044139,0.966084
2026-08-22,logistic_regression,0.428905,0.118018,0.380528,0.997518,0.981481,0.971890,0.072375,0.019955,0.985834
2026-08-22,random_forest,0.428905,0.118018,0.380528,0.992261,0.963964,0.937500,0.142292,0.040108,0.969583
2026-08-23,hist_gradient_boosting,0.493891,0.139535,0.522195,0.985689,0.955357,0.921875,0.219138,0.049316,0.960326
2026-08-23,logistic_regression,0.493891,0.139535,0.522195,0.997518,0.986175,0.976562,0.070479,0.018884,0.988284
2026-08-23,random_forest,0.493891,0.139535,0.522195,0.992114,0.963964,0.937500,0.149753,0.042462,0.969289
2026-08-24,hist_gradient_boosting,0.525422,0.153341,0.591177,0.995765,0.963964,0.937500,0.204784,0.044635,0.970532
2026-08-24,logistic_regression,0.525422,0.153341,0.591177,0.997225,0.972727,0.953125,0.072415,0.020445,0.979289
2026-08-24,random_forest,0.525422,0.153341,0.591177,0.991676,0.946903,0.906250,0.164854,0.049878,0.957004
2026-08-25,hist_gradient_boosting,0.515278,0.145284,0.424250,0.996641,0.968326,0.945312,0.094156,0.028844,0.975332
2026-08-25,logistic_regression,0.515278,0.145284,0.424250,0.997956,0.981651,0.968750,0.066085,0.018261,0.985602
2026-08-25,random_forest,0.515278,0.145284,0.424250,0.994159,0.968326,0.945312,0.142465,0.039438,0.973280
2026-08-26,hist_gradient_boosting,0.483095,0.139428,0.920170,0.991676,0.972727,0.953125,0.141987,0.035078,0.975606
2026-08-26,logistic_regression,0.483095,0.139428,0.920170,0.998394,0.977169,0.960938,0.070965,0.020506,0.982645
2026-08-26,random_forest,0.483095,0.139428,0.920170,0.993283,0.963636,0.940640,0.132443,0.036794,0.970853
2026-08-27,hist_gradient_boosting,0.461022,0.182566,1.591950,0.994013,0.951456,0.950131,0.141193,0.040750,0.968993
2026-08-27,logistic_regression,0.461022,0.182566,1.591950,0.996933,0.966507,0.964150,0.105909,0.032130,0.978343
2026-08-27,random_forest,0.461022,0.182566,1.591950,0.992407,0.932039,0.925161,0.150164,0.044201,0.957186
2026-08-28,hist_gradient_boosting,0.469139,0.117780,0.357897,0.992407,0.958904,0.935967,0.137360,0.040347,0.967793
2026-08-28,logistic_regression,0.469139,0.117780,0.357897,0.997664,0.981651,0.968750,0.071157,0.019522,0.985359
2026-08-28,random_forest,0.469139,0.117780,0.357897,0.992553,0.950226,0.920342,0.140718,0.039155,0.962242
2026-08-29,hist_gradient_boosting,0.500177,0.165111,0.577434,0.992991,0.962264,0.953198,0.106695,0.031644,0.973351
2026-08-29,logistic_regression,0.500177,0.165111,0.577434,0.998248,0.966507,0.964150,0.107176,0.032138,0.978867
2026-08-29,random_forest,0.500177,0.165111,0.577434,0.992845,0.952830,0.940713,0.133450,0.038385,0.967291
